"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
25667,111,"BOS",2013,25667,100,0.277,0.169,0.329,0.446,0.347,,,1566,5651,,,,88.1,,2444,11064,14413,,,,,,,,,,"-171.8","171.8",,,6378,4417,996,363,29,178,1308,20.5,581,9.1,2.28302,0.75694,0.38576,-0.19402,,,0,0,0,6.05,-0.59,-0.08,2.3,0.349,0,"0.669439358",,,"-0.669439358",,,,,22.1,
25643,119,"LAD",2018,25643,100,0.25,0.191,0.294,0.442,0.333,0.328,0.242,1394,5572,88.9,14.4,2231,88.5,88.08,2812,11232,14410,-0.4000000000000057,5.96,111,152,114,148,300,319,299,"-72.9","72.9",,,6311,4214,830,296,33,235,1436,22.8,600,9.5,2.33674,0.66299,0.41254,-0.15034,"92.1",171,36.8296155671571,8.258186995728524,5.514181587704009,5.84,-0.5,0.03,2.23,0.328,348,"0.284397301",0.323,0.425,"-0.284397301",0.008,0.0050000000000000044,0.017,0.005,25,
25540,111,"BOS",2010,25540,100,0.268,0.183,0.299,0.451,0.345,,,1511,5646,,,,88.6,,1988,10803,14570,,,,,,,,,,"-125.2","125.2",,,6356,4581,920,358,22,211,1140,17.9,587,9.2,2.19615,0.82744,0.44853,-0.14729,,,0,0,0,6.11,-0.75,-0.05,2.49,0.339,0,"0.490215348",,,"-0.490215348",,,,,18.4,
25523,136,"SEA",2019,25523,100,0.237,0.187,0.287,0.424,0.314,0.308,0.229,1305,5500,87.2,14.3,2266,88.5,88.01,3071,11535,13984,-0.5,5.94,110,153,116,148,291,316,294,"24.1","-24.1",,,6192,3970,784,254,28,239,1581,25.5,581,9.4,2.3242,0.67671,0.36376,-0.12222,"91.4",164,32.21662468513854,7.178841309823677,4.602713178294573,5.96,-0.68,-0.01,2.26,0.315,285,"-0.094342358",0.31,0.4,"0.094342358",0.008,0.0050000000000000044,0.024,0.006,26.6,
25427,111,"BOS",2019,25427,100,0.269,0.197,0.313,0.466,0.338,0.337,0.26,1554,5770,89.7,12.7,2249,88.8,88.44,3034,12186,13237,-0.3999999999999915,6.02,110,151,117,148,289,325,301,"-120.7","120.7",,,6439,4452,937,345,27,245,1382,21.5,554,8.6,2.28825,0.68428,0.38086,-0.08316,"92.4",173,41.35220125786164,8.131176999101527,5.621990992390122,5.92,-0.6,0.05,2.25,0.336,362,"0.474825972",0.33,0.456,"-0.474825972",0.009,0.006000000000000005,0.01,0.001,24.9,
25421,111,"BOS",2011,25421,100,0.28,0.181,0.314,0.461,0.352,,,1600,5710,,,,88.4,,2127,11280,13937,,,,,,,,,,"-191.9","191.9",,,6412,4674,1010,352,35,203,1108,17.3,578,9,2.36062,0.66734,0.4548,-0.17994,,,0,0,0,6.06,-0.73,-0.11,2.46,0.349,0,"0.754828685",,,"-0.754828685",,,,,18.9,
25312,158,"MIL",2019,25312,100,0.246,0.192,0.296,0.438,0.324,0.324,0.242,1366,5542,89.5,11.9,2258,89,88.79,3134,11577,13734,-0.20000000000000284,6.08,112,152,118,149,301,322,297,"15.4","-15.4",,,6267,4037,820,279,17,250,1563,24.9,587,9.4,2.3025,0.64203,0.39612,-0.11197,"92.4",164,39.33614069853852,8.14961605152341,5.249720759534068,5.88,-0.73,0.02,2.3,0.325,329,"-0.060765645",0.323,0.427,"0.060765645",0.004,0.0020000000000000018,0.011,0,27.1,
25306,147,"NYY",2019,25306,100,0.267,0.222,0.306,0.49,0.346,0.338,0.256,1493,5583,89.9,13.5,2261,88.7,88.28,3082,11743,13562,-0.4000000000000057,5.99,109,153,117,148,301,324,292,"-180.4","180.4",,,6227,4189,880,290,17,306,1437,23.1,551,8.8,2.34035,0.64434,0.34386,-0.07166,"92.5",170,40.725710193363575,9.5488183337312,6.423638991488678,5.9,-0.69,0.07,2.26,0.337,400,"0.712704497",0.328,0.465,"-0.712704497",0.011,0.009000000000000008,0.025,0.008,26.2,
25306,147,"NYY",2017,25306,100,0.262,0.185,0.304,0.447,0.336,0.332,0.254,1463,5594,87.5,12.5,2232,88.6,88.08,2955,11487,13817,-0.5,6.01,110,151,112,147,295,321,292,"-100.2","100.2",,,6327,4282,933,266,23,241,1386,21.9,594,9.4,2.15265,0.84468,0.51515,-0.09091,"91.9",165,33.629145259224664,7.192900513778608,4.8680259206575,5.88,-0.82,0.03,2.26,0.336,308,"0.395929819",0.332,0.433,"-0.395929819",0.008,0.0040000000000000036,0.014,0.004,25.7,
25253,111,"BOS",2014,25253,100,0.244,0.124,0.297,0.369,0.305,,,1355,5551,,,,88.4,,2351,10980,14137,,,,,,,,,,"14.8","-14.8",,,6226,4286,930,282,20,123,1337,21.5,535,8.6,2.20647,0.81507,0.39932,-0.14605,,,0,0,0,5.98,-0.62,-0.08,2.28,0.316,0,"-0.058460381",,,"0.058460381",,,,,21.4,
