"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
14943,136,"SEA",2019,25523,58.5,0.23,0.191,0.276,0.422,0.311,0.313,0.232,746,3238,87.6,14,2267,88.5,88.02,1737,6630,8313,-0.5,5.92,116,156,118,150,292,316,294,"-1.3","1.3",,,3606,2311,437,146,15,148,927,25.7,334,9.3,2.30283,0.69901,0.37243,-0.11396,"91.5",165,33.27563825183903,7.702293379489398,4.936217415418747,5.99,-0.73,0.01,2.27,0.309,178,"0.008739878",0.312,0.413,"-0.008739878",-0.002,-0.0030000000000000027,0.009,-0.002,26.2,
14706,147,"NYY",2019,25306,58.1,0.249,0.22,0.286,0.469,0.332,0.336,0.253,810,3254,90,13.1,2261,88.5,88.12,1754,6630,8076,-0.4000000000000057,5.96,116,157,119,151,302,325,292,"-41.6","41.6",,,3592,2387,461,161,10,178,867,24.1,311,8.7,2.34737,0.64923,0.3384,-0.08057,"92.6",170,41.64222873900293,9.844993715961458,6.542316258351893,5.92,-0.64,0.07,2.26,0.32,235,"0.283170135",0.323,0.467,"-0.283170135",-0.004,-0.0030000000000000027,0.002,-0.004,26.5,
14666,119,"LAD",2018,25643,57.2,0.248,0.215,0.288,0.463,0.341,0.332,0.242,790,3182,89.4,14.8,2229,88.3,87.9,1559,6227,8439,-0.3999999999999915,5.94,118,156,116,150,301,319,300,"-75","75",,,3558,2356,445,164,24,157,826,23.2,353,9.9,2.35045,0.66245,0.41519,-0.16736,"92.2",175,38.62478777589134,8.828522920203735,5.845980888139405,5.85,-0.47,0.05,2.22,0.328,208,"0.511352789",0.323,0.436,"-0.511352789",0.006,0.0050000000000000044,0.027,0.009,25,
14645,110,"BAL",2019,24561,59.6,0.239,0.163,0.29,0.402,0.301,0.305,0.242,796,3330,87.8,12.1,2246,88.4,87.95,1839,6945,7700,-0.5,5.97,115,155,116,150,296,321,294,"34.6","-34.6",,,3631,2454,511,147,19,119,876,24.1,259,7.1,2.34488,0.66003,0.38892,-0.22879,"91.7",159,33.17033414832925,6.112469437652812,4.131093362709997,5.92,-0.46,0.05,2.24,0.302,150,"-0.236421987",0.305,0.399,"0.236421987",-0.003,-0.0030000000000000027,0.003,-0.004,26.5,
14542,147,"NYY",2021,24804,58.6,0.235,0.175,0.283,0.41,0.319,0.327,0.24,723,3077,89.3,11.6,2226,89.1,89.2,1686,6330,8212,0.10000000000000853,6.36,115,158,122,150,303,328,293,"-18.2","18.2",,,3461,2213,465,113,9,136,864,25,349,10.1,2.23757,0.681,0.38361,-0.08673,"92.2",159,43.063714414821504,10.076818798011749,6.443224501589135,5.84,-0.6,0.06,2.3,0.32,223,"0.125065328",0.325,0.421,"-0.125065328",-0.005,-0.0050000000000000044,-0.011,-0.008,26.6,"41.3"
14528,141,"TOR",2016,25139,57.8,0.244,0.179,0.288,0.423,0.325,0.325,0.244,774,3173,89.1,12.2,2219,88.4,87.8,1466,6227,8301,-0.6000000000000085,6.02,112,154,114,147,298,322,294,"-14","14",,,3552,2379,465,175,10,124,794,22.4,349,9.8,2.30251,0.71819,0.36382,-0.0677,"92.4",165,38.16729718369062,7.482135350987811,5.011261261261262,6.12,-0.9,0.03,2.28,0.325,178,"0.096296806",0.326,0.421,"-0.096296806",0,-0.0010000000000000009,0.002,0,23.5,
14522,108,"LAA",2019,24919,58.3,0.239,0.174,0.274,0.414,0.309,0.319,0.248,776,3242,87.9,13.1,2254,88.4,87.85,1436,6234,8288,-0.5,5.9,116,156,119,150,299,321,295,"15.6","-15.6",,,3572,2482,484,150,11,131,760,21.3,300,8.4,2.33007,0.68393,0.3935,-0.1093,"91.8",164,33.360193392425465,7.131345688960515,4.955207166853304,5.92,-0.66,0.08,2.26,0.309,177,"-0.107306156",0.318,0.423,"0.107306156",-0.009,-0.009000000000000008,-0.009,-0.01,23,
14515,143,"PHI",2019,24905,58.3,0.236,0.179,0.283,0.415,0.307,0.312,0.24,767,3247,88.7,13.8,2266,88.9,88.54,1710,6661,7854,-0.4000000000000057,6.03,117,155,115,150,298,322,295,"17.1","-17.1",,,3576,2388,453,173,14,127,859,24,296,8.3,2.29986,0.66621,0.39121,-0.09255,"92.1",166,35.88777219430486,7.2864321608040195,4.865771812080537,5.86,-0.89,0.06,2.3,0.306,174,"-0.118022735",0.31,0.414,"0.118022735",-0.004,-0.0040000000000000036,0.001,-0.005,25.7,
14485,158,"MIL",2019,25312,57.2,0.244,0.193,0.295,0.437,0.322,0.33,0.249,786,3215,89.8,11.7,2262,88.9,88.64,1741,6494,7991,-0.30000000000001137,6.05,119,156,120,151,301,323,297,"-22.4","22.4",,,3576,2314,469,161,9,147,901,25.2,319,8.9,2.3136,0.64255,0.385,-0.12137,"92.5",165,39.97407087294727,8.426966292134832,5.453020134228188,5.9,-0.76,0.04,2.3,0.32,195,"0.154739386",0.325,0.444,"-0.154739386",-0.005,-0.0050000000000000044,-0.007,-0.008,26.8,
14470,140,"TEX",2019,25074,57.7,0.242,0.183,0.297,0.425,0.312,0.317,0.242,786,3248,89.4,12.2,2262,88.4,87.91,1747,6510,7960,-0.5,5.95,117,157,118,151,299,322,296,"-5.1","5.1",,,3564,2328,468,176,9,133,920,25.8,284,8,2.31872,0.69226,0.3849,-0.13516,"92.3",172,40.63573883161512,7.302405498281788,4.769921436588103,5.93,-0.55,0.03,2.28,0.309,170,"0.034989634",0.31,0.427,"-0.034989634",0,-0.0010000000000000009,-0.002,-0.005,26.8,
