"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
940,144,"ATL",2010,24290,3.9,0.304,0.157,0.358,0.461,0.365,,,62,204,,,,86.8,,103,438,502,,,,,,,,,,"-17.1","17.1",,,246,167,39,18,1,4,48,19.5,29,11.8,2.64348,0.49479,0.38466,-0.19529,,,0,0,0,6.15,-0.43,-0.06,2.33,0.38,0,"1.815",,,"-1.815",,,,,23.5,
923,140,"TEX",2010,23508,3.9,0.306,0.113,0.305,0.419,0.33,,,57,186,,,,87.2,,67,421,496,,,,,,,,,,"1.3","-1.3",,,235,182,43,10,1,3,27,11.5,24,10.2,2.37054,0.71442,0.5259,-0.01678,,,0,0,0,5.99,-1.05,-0.05,2.45,0.356,0,"-0.13716143",,,"0.13716143",,,,,15.9,
887,112,"CHC",2018,24240,3.7,0.305,0.16,0.323,0.465,0.336,0.288,0.216,57,187,86.7,9.1,2225,89.1,88.67,95,420,466,-0.3999999999999915,5.98,88,145,105,145,294,315,294,"-7.6","7.6",,,225,165,41,9,0,7,41,18.2,19,8.4,2.36541,0.58757,0.37401,-0.09169,"91.7",148,32.72727272727273,4.848484848484849,3.5555555555555554,5.9,-1.05,-0.02,2.22,0.342,8,"0.854227734",0.284,0.336,"-0.854227734",0.089,0.05800000000000005,0.129,0.048,22.6,
878,119,"LAD",2023,24989,3.5,0.297,0.206,0.318,0.503,0.36,0.357,0.261,49,165,88.9,19.7,2256,89.2,89.52,103,404,474,0.29999999999999716,6.47,89,145,113,145,297,320,295,"-1.9","1.9",,,216,139,29,13,0,7,45,20.8,28,13,2.28415,0.65056,0.2873,-0.16582,"91.8",171,41.007194244604314,8.633093525179856,5.555555555555555,5.8,-0.56,0.06,2.3,0.372,12,"0.220728929",0.36,0.452,"-0.220728929",0.036,0.01200000000000001,0.051,0.003,25.5,"39.2"
876,111,"BOS",2019,25427,3.4,0.295,0.232,0.306,0.526,0.359,0.353,0.26,56,190,89.7,15.7,2282,89.3,88.97,100,415,460,-0.29999999999999716,6.06,88,146,110,144,288,324,302,"-11.8","11.8",,,227,158,34,11,0,11,44,19.4,23,10.1,2.28793,0.64421,0.35963,-0.09547,"92.2",182,42.405063291139236,8.227848101265822,5.726872246696035,5.9,-0.68,0.01,2.23,0.357,13,"1.344178082",0.341,0.488,"-1.344178082",0.035,0.01599999999999996,0.038,0.006,24.1,
875,137,"SF",2012,23426,3.7,0.294,0.118,0.325,0.412,0.306,,,55,187,,,,87.3,,99,438,431,,,,,,,,,,"7.1","-7.1",,,226,168,40,11,1,3,42,18.6,16,7.1,2.45803,0.60758,0.45284,-0.27826,,,0,0,0,6.08,-0.63,-0.07,2.23,0.321,0,"-0.814628571",,,"0.814628571",,,,,22.6,
862,142,"MIN",2014,24944,3.5,0.247,0.176,0.255,0.424,0.318,,,42,170,,,,88.1,,96,388,466,,,,,,,,,,"-2.9","2.9",,,215,144,26,9,0,7,43,20,24,11.2,2.36049,0.67497,0.45244,-0.14295,,,0,0,0,5.99,-0.54,-0.07,2.28,0.326,0,"0.337354988",,,"-0.337354988",,,,,24.7,
861,111,"BOS",2016,24947,3.5,0.357,0.265,0.354,0.622,0.405,0.339,0.26,66,185,88.5,10.5,2241,88.6,87.92,85,412,449,-0.6999999999999886,6.12,89,145,109,143,285,315,297,"-21.6","21.6",,,217,168,37,19,0,10,32,14.7,17,7.8,2.36922,0.64047,0.27751,-0.148,"92.0",167,34.523809523809526,7.738095238095238,5.990783410138248,6.02,-0.87,-0.05,2.23,0.382,13,"2.507317073",0.324,0.456,"-2.507317073",0.097,0.057999999999999996,0.166,0.066,20.6,
860,133,"OAK",2010,23259,3.7,0.234,0.126,0.247,0.36,0.293,,,41,175,,,,88.2,,67,384,476,,,,,,,,,,"7.2","-7.2",,,215,158,26,11,1,3,32,14.9,23,10.7,2.31007,0.70798,0.51291,-0.18845,,,0,0,0,6.16,-1.02,-0.19,2.33,0.308,0,"-0.83755814",,,"0.83755814",,,,,17.4,
856,111,"BOS",2011,25421,3.4,0.294,0.2,0.301,0.494,0.345,,,53,180,,,,88.1,,89,390,455,,,,,,,,,,"-4","4",,,221,160,31,15,0,7,38,17.2,22,10,2.47306,0.57808,0.45085,-0.17686,,,0,0,0,6.06,-0.69,-0.13,2.48,0.344,0,"0.470327103",,,"-0.470327103",,,,,22.8,
