"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
716,111,"BOS",2013,25667,2.8,0.297,0.152,0.333,0.448,0.352,,,43,145,,,,86.2,,71,313,337,,,,,,,,,,"-7","7",,,196,117,33,4,0,6,38,19.4,38,19.4,2.56624,0.6678,0.28498,-0.1626,,,0,0,0,6.06,-0.88,-0.21,2.5,0.429,0,"0.984357542",,,"-0.984357542",,,,,22.7,
689,111,"BOS",2011,25421,2.7,0.331,0.194,0.385,0.525,0.393,,,46,139,,,,86.7,,74,303,329,,,,,,,,,,"-21.6","21.6",,,180,110,32,7,1,6,35,19.4,34,18.9,2.64832,0.55544,0.32635,-0.15649,,,0,0,0,6.03,-0.63,-0.18,2.57,0.45,0,"3.141509434",,,"-3.141509434",,,,,24.4,
652,158,"MIL",2016,24181,2.7,0.202,0.14,0.28,0.341,0.289,0.259,0.168,26,129,84.9,12.8,2156,87.9,87.63,96,294,312,-0.30000000000001137,6.08,108,139,102,138,289,307,287,"12.1","-12.1",,,177,86,14,9,0,3,52,29.4,38,21.5,2.38793,0.69552,0.47074,-0.10902,"90.8",144,24.418604651162788,5.813953488372093,2.824858757062147,5.98,-0.51,0.05,2.43,0.366,5,"-1.863190184",0.35,0.251,"1.863190184",0.034,0.016000000000000014,0.09,0.03,32.7,
644,139,"TB",2010,24674,2.6,0.293,0.163,0.333,0.455,0.365,,,36,123,,,,86.1,,76,265,319,,,,,,,,,,"-3.2","3.2",,,177,102,24,7,2,3,32,18.1,42,23.7,2.48634,0.74389,0.38606,-0.10806,,,0,0,0,6.14,-0.61,-0.26,2.62,0.446,0,"0.490217391",,,"-0.490217391",,,,,28.7,
633,111,"BOS",2019,25427,2.5,0.272,0.088,0.318,0.36,0.302,0.295,0.214,37,136,88.4,15.5,2282,88.8,88.48,88,323,310,-0.29999999999999716,6.02,108,141,108,138,285,321,297,"-1.5","1.5",,,173,112,29,6,0,2,38,22,21,12.1,2.33156,0.63283,0.26957,-0.07378,"92.0",162,35.714285714285715,4.464285714285714,2.8901734104046244,5.91,-0.42,0.09,2.2,0.347,5,"0.239810427",0.327,0.28,"-0.239810427",0.058,0.019999999999999962,0.08,0.007,27.2,
631,111,"BOS",2010,25540,2.5,0.248,0.218,0.28,0.466,0.34,,,33,133,,,,86.5,,55,254,309,,,,,,,,,,"-1.2","1.2",,,177,105,15,12,1,5,35,19.8,32,18.1,2.3943,0.84856,0.42056,-0.15272,,,0,0,0,6.16,-0.76,0.04,2.73,0.395,0,"0.187163233",,,"-0.187163233",,,,,21.7,
627,147,"NYY",2010,25025,2.5,0.223,0.124,0.258,0.347,0.317,,,27,121,,,,87.3,,61,270,299,,,,,,,,,,"5.9","-5.9",,,177,99,17,7,1,2,32,18.1,44,24.9,2.40079,0.72887,0.51278,-0.2309,,,0,0,0,6.14,-0.94,-0.37,2.54,0.412,0,"-0.936682616",,,"0.936682616",,,,,22.6,
627,114,"CLE",2012,24063,2.6,0.146,0.089,0.174,0.236,0.231,,,18,123,,,,87.2,,70,299,298,,,,,,,,,,"24.9","-24.9",,,162,94,11,5,0,2,35,21.6,33,20.4,2.61417,0.53419,0.27946,-0.06261,,,0,0,0,6.01,-0.57,-0.32,2.43,0.315,0,"-3.977511962",,,"3.977511962",,,,,23.4,
624,111,"BOS",2023,24251,2.6,0.252,0.156,0.267,0.408,0.324,0.3,0.216,37,147,88.5,5.6,2260,89.2,89.61,77,295,329,0.3999999999999915,6.54,110,140,109,139,286,321,297,"-1","1",,,180,122,27,3,1,6,33,18.3,21,11.7,2.31751,0.60374,0.29754,-0.04612,"91.8",126,36.885245901639344,6.557377049180328,4.444444444444445,5.69,-0.63,0.11,2.25,0.341,8,"0.158173077",0.32,0.344,"-0.158173077",0.036,0.02100000000000002,0.064,0.024,26.1,"39.2"
623,114,"CLE",2010,23790,2.6,0.173,0.128,0.178,0.301,0.252,,,23,133,,,,87.8,,63,288,289,,,,,,,,,,"14","-14",,,174,112,14,5,0,4,31,17.8,31,17.8,2.45637,0.65293,0.36158,-0.14696,,,0,0,0,6.25,-1.11,-0.2,2.59,0.312,0,"-2.245746388",,,"2.245746388",,,,,21.9,
620,120,"WSH",2023,22870,2.7,0.301,0.109,0.391,0.41,0.326,0.262,0.231,47,156,86.4,13,2270,89.4,89.74,92,332,288,0.29999999999999716,6.49,111,142,110,142,296,318,292,"-3.5","3.5",,,185,117,34,11,0,2,50,27,16,8.6,2.3799,0.51424,0.3015,-0.03785,"91.4",138,34.18803418803419,1.7094017094017095,1.0810810810810811,5.73,-0.8,0.08,2.25,0.351,2,"0.556774194",0.294,0.293,"-0.556774194",0.07,0.056999999999999995,0.117,0.064,27.7,"37.2"
613,111,"BOS",2014,25253,2.4,0.164,0.091,0.188,0.255,0.241,,,18,110,,,,87.2,,83,264,307,,,,,,,,,,"17.4","-17.4",,,156,87,12,4,0,2,36,23.1,31,19.9,2.31051,0.83849,0.3403,-0.08033,,,0,0,0,5.98,-0.37,-0.23,2.44,0.327,0,"-2.833278956",,,"2.833278956",,,,,31.4,
612,142,"MIN",2014,24944,2.5,0.266,0.145,0.313,0.411,0.335,,,33,124,,,,87.3,,65,267,309,,,,,,,,,,"-4.3","4.3",,,168,99,22,7,1,3,35,20.8,31,18.5,2.51603,0.60336,0.36494,-0.15758,,,0,0,0,6.04,-0.76,-0.08,2.33,0.399,0,"0.707679739",,,"-0.707679739",,,,,24.3,
610,143,"PHI",2010,24213,2.5,0.287,0.18,0.348,0.467,0.354,,,35,122,,,,84.9,,59,245,270,,,,,,,,,,"-5.5","5.5",,,167,95,22,7,3,3,31,18.6,38,22.8,2.6685,0.71428,0.43814,-0.12024,,,0,0,0,6.27,-0.53,0.01,2.75,0.455,0,"0.900819672",,,"-0.900819672",,,,,24.1,
607,140,"TEX",2010,23508,2.6,0.22,0.142,0.238,0.362,0.265,,,31,141,,,,85.5,,52,269,277,,,,,,,,,,"12.5","-12.5",,,189,124,16,12,1,2,34,18,29,15.3,2.53173,0.74275,0.44772,-0.04067,,,0,0,0,6.13,-1.28,-0.14,2.59,0.328,0,"-2.059308072",,,"2.059308072",,,,,19.3,
607,139,"TB",2013,24219,2.5,0.252,0.084,0.319,0.336,0.285,,,30,119,,,,86.2,,61,246,315,,,,,,,,,,"5.6","-5.6",,,161,94,21,8,1,0,37,23,30,18.6,2.60028,0.64651,0.33679,-0.23529,,,0,0,0,6.09,-0.18,0.1,2.6,0.373,0,"-0.915485997",,,"0.915485997",,,,,24.8,
602,111,"BOS",2021,23974,2.5,0.189,0.227,0.183,0.417,0.285,0.301,0.198,25,132,89.3,19.6,2232,89.1,89.23,102,319,283,0.10000000000000853,6.31,108,143,109,139,288,320,296,"14.3","-14.3",,,163,101,11,6,0,8,43,26.4,15,9.2,2.17164,0.73733,0.29162,-0.15659,"91.7",163,39.603960396039604,8.91089108910891,5.521472392638037,5.91,-0.74,0.02,2.42,0.27,9,"-2.381727575",0.291,0.404,"2.381727575",-0.009,-0.020999999999999963,0.013,-0.016,32,"44.6"
