"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2376,158,"MIL",2024,24893,9.5,0.244,0.181,0.301,0.426,0.341,0.33,0.235,132,540,88.5,10.2,2260,89.2,89.61,312,1179,1197,0.3999999999999915,6.51,116,149,115,148,297,318,294,"-13.1","13.1","69.5","7.2",633,391,81,26,3,22,153,24.2,85,13.4,2.31952,0.59693,0.29103,-0.05126,"91.6",156,43.73401534526854,8.951406649616368,5.529225908372828,5.72,-0.81,0.08,2.3,0.349,35,"0.550799663",0.342,0.401,"-0.550799663",0.009,0.006999999999999951,0.025,0.011,26.5,"38.4"
2336,140,"TEX",2011,23720,9.8,0.305,0.155,0.348,0.46,0.37,,,165,541,,,,87.6,,209,1109,1180,,,,,,,,,,"-37.6","37.6",,,629,459,114,32,5,14,93,14.8,71,11.3,2.34838,0.72568,0.33057,-0.11453,,,0,0,0,6.1,-1.07,-0.08,2.4,0.392,0,"1.610145548",,,"-1.610145548",,,,,18.8,
2268,139,"TB",2011,24229,9.4,0.178,0.127,0.21,0.305,0.267,,,95,535,,,,87.5,,245,1035,1184,,,,,,,,,,"32.3","-32.3",,,628,409,57,20,6,12,128,20.4,84,13.4,2.44164,0.67635,0.31,-0.12805,,,0,0,0,6.04,-1.08,-0.05,2.44,0.297,0,"-1.425176367",,,"1.425176367",,,,,23.7,
2234,142,"MIN",2013,25027,8.9,0.238,0.108,0.315,0.346,0.301,,,121,509,,,,87.6,,251,1010,1186,,,,,,,,,,"4.7","-4.7",,,584,367,85,26,1,9,145,24.8,66,11.3,2.40425,0.66882,0.36682,-0.18313,,,0,0,0,5.93,-0.8,-0.09,2.32,0.332,0,"-0.210564011",,,"0.210564011",,,,,24.9,
2211,119,"LAD",2014,23740,9.3,0.282,0.168,0.342,0.451,0.369,,,146,517,,,,88.5,,238,1010,1146,,,,,,,,,,"-27","27",,,618,401,97,28,4,17,123,19.9,84,13.6,2.33403,0.68607,0.4511,-0.03993,,,0,0,0,5.95,-1,0.05,2.28,0.393,0,"1.222976029",,,"-1.222976029",,,,,23.6,
2202,139,"TB",2022,23435,9.4,0.215,0.126,0.281,0.34,0.288,0.294,0.229,111,517,88.2,8.4,2233,88.3,88.12,306,1063,1139,-0.20000000000000284,6.29,117,154,113,150,296,322,294,"18.1","-18.1",,,582,374,66,34,2,9,145,24.9,53,9.1,2.36837,0.62291,0.29774,-0.18174,"91.7",143,38.23529411764706,5.080213903743315,3.264604810996564,5.86,-0.94,0.02,2.26,0.3,19,"-0.822252498",0.313,0.338,"0.822252498",-0.014,-0.013000000000000012,0.002,-0.006,28.8,"39.3"
2193,111,"BOS",2023,24251,9,0.254,0.191,0.291,0.446,0.339,0.318,0.233,133,523,89,11.9,2292,89,89.2,268,1072,1121,0.20000000000000284,6.45,118,149,116,149,285,320,298,"-12.4","12.4",,,592,403,81,27,2,23,122,20.6,54,9.1,2.32639,0.62583,0.28265,-0.07437,"91.9",155,39.70223325062035,7.444168734491314,5.0675675675675675,5.79,-1.02,0.02,2.29,0.336,30,"0.565617875",0.317,0.407,"-0.565617875",0.021,0.019000000000000017,0.039,0.021,25,"41.0"
2193,158,"MIL",2012,23591,9.3,0.256,0.159,0.294,0.415,0.334,,,134,523,,,,87.2,,227,1005,1141,,,,,,,,,,"-11.8","11.8",,,611,418,92,19,5,18,111,18.2,77,12.6,2.52665,0.57075,0.33052,-0.04192,,,0,0,0,6.09,-0.91,0.01,2.35,0.357,0,"0.538577291",,,"-0.538577291",,,,,22.6,
2190,113,"CIN",2023,24440,9,0.253,0.19,0.31,0.443,0.351,0.34,0.25,127,501,86.7,14.4,2223,88.8,89.11,259,997,1193,0.29999999999999716,6.44,117,148,115,149,296,320,292,"-13.7","13.7",,,589,368,77,26,3,21,138,23.4,69,11.7,2.35424,0.58905,0.31781,0.00354,"91.3",154,37.22826086956522,7.608695652173914,4.753820033955857,5.87,-0.87,0.03,2.3,0.36,28,"0.626164384",0.357,0.408,"-0.626164384",0.003,0.0030000000000000027,0.035,0.011,26,"39.5"
2190,134,"PIT",2016,24900,8.8,0.244,0.141,0.313,0.385,0.329,0.324,0.232,114,467,88.5,11.3,2163,88.3,87.84,241,992,1139,-0.5,6.1,115,148,111,147,296,312,288,"-1.8","1.8",,,570,343,76,23,2,13,131,23,87,15.3,2.42403,0.60235,0.27575,0.0295,"91.7",156,32.94460641399417,6.122448979591836,3.684210526315789,6.1,-1.35,0.07,2.26,0.373,21,"0.08369863",0.367,0.376,"-0.08369863",0.012,0.006000000000000005,0.009,0.005,24.3,
2184,112,"CHC",2022,23812,9.2,0.234,0.175,0.291,0.409,0.331,0.307,0.224,111,474,86.6,10.2,2271,89,89.02,295,1082,1102,0,6.31,116,151,116,149,296,319,293,"-5.2","5.2",,,554,348,61,33,1,16,132,23.8,63,11.4,2.38184,0.54802,0.27726,-0.03064,"91.2",149,35.63218390804598,4.597701149425287,2.888086642599278,5.73,-1.09,0.12,2.28,0.338,16,"0.236904762",0.331,0.343,"-0.236904762",0.01,0.007000000000000006,0.066,0.024,27.3,"37.0"
2180,111,"BOS",2013,25667,8.5,0.247,0.122,0.303,0.369,0.311,,,123,498,,,,87.1,,225,978,1099,,,,,,,,,,"-3.3","3.3",,,592,390,84,28,0,11,117,19.8,76,12.8,2.38745,0.73852,0.34549,-0.17431,,,0,0,0,6.03,-0.62,-0.12,2.38,0.357,0,"0.152155963",,,"-0.152155963",,,,,23,
2180,139,"TB",2010,24674,8.8,0.25,0.131,0.31,0.381,0.343,,,122,488,,,,87.5,,221,1015,1136,,,,,,,,,,"-3.1","3.1",,,601,378,86,19,6,11,119,19.8,91,15.1,2.3239,0.77419,0.38908,-0.20109,,,0,0,0,6.16,-0.86,-0.17,2.49,0.382,0,"0.140091743",,,"-0.140091743",,,,,21.8,
