"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
3007,111,"BOS",2011,25421,11.8,0.306,0.185,0.328,0.491,0.357,,,190,621,,,,87.7,,297,1373,1521,,,,,,,,,,"-30.8","30.8",,,777,532,122,44,1,23,139,17.9,99,12.7,2.51972,0.58588,0.41537,-0.1255,,,0,0,0,6.05,-0.7,-0.13,2.52,0.381,0,"1.025540406",,,"-1.025540406",,,,,21.6,
2977,147,"NYY",2010,25025,11.9,0.287,0.167,0.318,0.454,0.356,,,175,610,,,,87.9,,283,1292,1602,,,,,,,,,,"-30","30",,,785,513,117,32,8,18,143,18.2,115,14.6,2.38128,0.68654,0.50183,-0.14357,,,0,0,0,6.14,-0.94,-0.26,2.46,0.388,0,"1.009371851",,,"-1.009371851",,,,,21.9,
2903,111,"BOS",2013,25667,11.3,0.295,0.189,0.319,0.485,0.345,,,184,623,,,,87.8,,310,1342,1482,,,,,,,,,,"-26.8","26.8",,,759,524,120,35,4,25,149,19.6,77,10.1,2.39345,0.68543,0.29174,-0.13248,,,0,0,0,6.05,-0.8,-0.12,2.34,0.356,0,"0.923699621",,,"-0.923699621",,,,,23.1,
2875,139,"TB",2010,24674,11.7,0.282,0.165,0.302,0.447,0.349,,,169,599,,,,87.4,,288,1268,1533,,,,,,,,,,"-23.4","23.4",,,795,532,109,36,9,15,130,16.4,124,15.6,2.3838,0.72235,0.35368,-0.15625,,,0,0,0,6.12,-0.83,-0.21,2.48,0.382,0,"0.813530435",,,"-0.813530435",,,,,22.7,
2839,144,"ATL",2010,24290,11.7,0.29,0.164,0.326,0.455,0.359,,,173,596,,,,86.9,,297,1267,1487,,,,,,,,,,"-40.5","40.5",,,754,497,113,39,4,17,136,18,111,14.7,2.6193,0.52815,0.41926,-0.1632,,,0,0,0,6.15,-0.55,-0.13,2.43,0.391,0,"1.428249384",,,"-1.428249384",,,,,23.4,
2828,119,"LAD",2023,24989,11.3,0.282,0.155,0.298,0.436,0.326,0.347,0.272,164,582,88.6,16.2,2253,89.2,89.56,363,1405,1423,0.3999999999999915,6.45,104,142,113,141,297,320,295,"-13.9","13.9",,,745,508,111,34,1,18,143,19.2,77,10.3,2.33688,0.58298,0.27934,-0.08004,"91.7",167,39.37007874015748,7.677165354330709,5.23489932885906,5.76,-0.65,0.05,2.33,0.345,39,"0.491371994",0.354,0.433,"-0.491371994",0.01,-0.009000000000000008,0.003,-0.021,25.8,"38.3"
2822,137,"SF",2012,23426,12,0.292,0.136,0.313,0.428,0.32,,,174,596,,,,87.5,,307,1379,1372,,,,,,,,,,"10.3","-10.3",,,750,532,123,34,4,13,130,17.3,86,11.5,2.44918,0.61559,0.44235,-0.20515,,,0,0,0,6.1,-0.67,-0.08,2.32,0.352,0,"-0.3654146",,,"0.3654146",,,,,22.3,
2812,111,"BOS",2018,24653,11.4,0.303,0.25,0.299,0.553,0.378,0.36,0.267,186,613,89.1,12.8,2215,89.3,88.78,280,1334,1477,-0.5,6.02,104,144,107,141,281,315,298,"-68.9","68.9",,,752,542,106,41,5,34,119,15.8,85,11.3,2.27546,0.67022,0.45137,-0.11908,"92.2",163,38.00738007380074,9.40959409594096,6.781914893617021,5.79,-0.69,0.02,2.22,0.368,51,"2.449502134",0.353,0.465,"-2.449502134",0.036,0.015000000000000013,0.088,0.018,21,
2776,142,"MIN",2014,24944,11.1,0.269,0.151,0.303,0.419,0.335,,,150,558,,,,87.8,,290,1239,1471,,,,,,,,,,"-34.4","34.4",,,717,463,96,38,2,14,139,19.4,105,14.6,2.39738,0.66383,0.3957,-0.10986,,,0,0,0,6.02,-0.55,-0.02,2.3,0.37,0,"1.238760807",,,"-1.238760807",,,,,23.4,
2753,111,"BOS",2016,24947,11,0.297,0.199,0.314,0.496,0.347,0.314,0.249,175,589,89.3,7.6,2216,88.4,87.77,270,1279,1422,-0.6000000000000085,6.03,103,143,109,141,284,313,294,"-23.2","23.2",,,705,502,109,40,1,25,127,18,70,9.9,2.42185,0.61386,0.25488,-0.09382,"92.0",160,35.45816733067729,5.179282868525896,3.6879432624113475,6.05,-0.91,-0.08,2.23,0.356,26,"0.8440247",0.332,0.394,"-0.8440247",0.048,0.023999999999999966,0.102,0.033,21.1,
2739,143,"PHI",2010,24213,11.3,0.253,0.132,0.277,0.385,0.303,,,149,590,,,,86.9,,276,1244,1354,,,,,,,,,,"5.5","-5.5",,,749,512,102,28,7,12,126,16.8,100,13.4,2.47609,0.68966,0.4566,-0.14835,,,0,0,0,6.18,-0.62,-0.11,2.43,0.349,0,"-0.199780942",,,"0.199780942",,,,,22.2,
2737,111,"BOS",2019,25427,10.8,0.29,0.158,0.323,0.448,0.337,0.323,0.244,175,603,88.3,11.8,2273,89.2,88.88,340,1335,1401,-0.29999999999999716,6.03,103,144,109,142,286,322,300,"-20.8","20.8",,,737,500,121,33,1,20,147,19.9,81,11,2.30138,0.63782,0.34361,-0.09139,"92.0",165,37.8,5.4,3.6635006784260513,5.93,-0.67,0.06,2.19,0.36,27,"0.758933138",0.338,0.379,"-0.758933138",0.046,0.021999999999999964,0.069,0.014,25.5,
