"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
5148,147,"NYY",2024,24962,20.6,0.262,0.194,0.299,0.456,0.349,0.354,0.264,287,1096,89.2,12.2,2251,89,89.28,534,2285,2863,0.29999999999999716,6.5,88,146,118,147,299,326,293,"-25.7","25.7","70.1","7.3",1241,852,175,60,3,49,250,20.1,130,10.5,2.3229,0.6095,0.35343,-0.14404,"92.2",160,42.6056338028169,9.859154929577464,6.768734891216761,5.77,-0.66,-0.05,2.33,0.344,84,"0.498795649",0.347,0.465,"-0.498795649",-0.002,-0.0030000000000000027,-0.009,-0.005,23.4,"38.5"
5059,111,"BOS",2010,25540,19.8,0.268,0.197,0.299,0.465,0.353,,,293,1092,,,,89,,393,2172,2877,,,,,,,,,,"-26","26",,,1223,895,164,85,2,42,211,17.3,107,8.7,2.11518,0.87006,0.53104,-0.2337,,,0,0,0,6.09,-0.7,-0.1,2.49,0.339,0,"0.513737893",,,"-0.513737893",,,,,18.1,
5034,147,"NYY",2017,25306,19.9,0.265,0.18,0.32,0.445,0.34,0.332,0.254,285,1076,87.9,14.2,2218,88.8,88.22,574,2262,2770,-0.5999999999999943,6.03,89,146,111,145,297,323,293,"-28.9","28.9",,,1216,808,182,56,3,44,278,22.9,118,9.7,2.11306,0.87085,0.56826,-0.08588,"91.7",165,33.16831683168317,7.425742574257425,4.934210526315789,5.86,-0.71,0.01,2.27,0.344,60,"0.573202225",0.334,0.43,"-0.573202225",0.011,0.009999999999999953,0.015,0.008,25.4,
4987,140,"TEX",2023,24733,20.2,0.275,0.209,0.324,0.485,0.354,0.334,0.257,312,1133,89.6,14.7,2237,89.2,89.35,548,2340,2646,0.20000000000000284,6.42,89,146,119,147,301,329,299,"-37.7","37.7",,,1246,863,178,80,5,49,273,21.9,98,7.9,2.30441,0.6303,0.35655,-0.18414,"91.7",168,41.946697566628046,9.73348783314021,6.741573033707865,5.74,-0.96,0.06,2.37,0.34,84,"0.756827752",0.323,0.452,"-0.756827752",0.018,0.017000000000000015,0.033,0.02,23.4,"38.5"
4972,138,"STL",2023,23924,20.8,0.248,0.17,0.284,0.418,0.326,0.347,0.264,275,1110,89.2,13.6,2244,89.2,89.52,575,2293,2679,0.29999999999999716,6.46,88,148,117,147,303,326,299,"-3.5","3.5",,,1249,868,177,50,5,43,249,19.9,112,9,2.30301,0.59958,0.33045,-0.07195,"92.2",160,43.08755760368664,9.44700460829493,6.5652522017614094,5.71,-0.87,0,2.29,0.327,82,"0.070917136",0.342,0.458,"-0.070917136",-0.016,-0.015000000000000013,-0.04,-0.021,25.1,"38.0"
4957,113,"CIN",2021,24111,20.6,0.264,0.203,0.309,0.467,0.343,0.332,0.253,288,1091,86.9,11.2,2231,88.7,88.88,583,2373,2584,0.20000000000000284,6.32,88,147,118,144,298,323,296,"-24.5","24.5",,,1233,856,165,72,3,48,266,21.6,95,7.7,2.28043,0.65163,0.38387,-0.06378,"91.6",153,41.35514018691589,8.995327102803738,6.244931062449311,5.89,-0.95,0.03,2.29,0.331,77,"0.494210208",0.321,0.446,"-0.494210208",0.011,0.010000000000000009,0.021,0.011,24.6,"41.8"
4933,147,"NYY",2021,24804,19.9,0.244,0.192,0.29,0.437,0.329,0.347,0.257,266,1088,90.3,12.9,2223,89.3,89.37,614,2209,2724,0.10000000000000853,6.37,88,150,119,146,302,328,292,"-10.2","10.2",,,1216,798,160,53,3,50,292,24,116,9.5,2.21308,0.68898,0.40521,-0.08648,"92.7",167,44.48621553884712,11.152882205513784,7.319078947368421,5.81,-0.53,-0.03,2.3,0.323,89,"0.206243665",0.334,0.469,"-0.206243665",-0.013,-0.01100000000000001,-0.032,-0.018,27.8,"41.1"
4916,135,"SD",2022,24392,20.2,0.262,0.138,0.313,0.4,0.324,0.313,0.249,283,1081,88.1,12.9,2227,89.2,89.11,542,2283,2633,-0.10000000000000853,6.31,88,148,118,146,299,324,297,"-1.4","1.4",,,1204,846,194,58,2,29,241,20,109,9.1,2.24587,0.67633,0.45212,-0.11573,"91.9",151,39.952718676122934,6.028368794326241,4.235880398671096,5.71,-0.67,-0.02,2.27,0.333,51,"0.027949552",0.322,0.383,"-0.027949552",0.013,0.01100000000000001,0.017,0.011,23.7,"37.2"
4910,145,"CWS",2021,23930,20.5,0.258,0.154,0.313,0.412,0.326,0.324,0.249,282,1092,87.8,8.4,2209,89.1,89.17,602,2319,2591,0.10000000000000853,6.3,88,148,116,145,297,324,295,"0.4","-0.4",,,1226,832,190,52,4,36,269,21.9,107,8.7,2.20768,0.70209,0.3781,-0.17077,"91.7",151,38.70192307692308,7.331730769230769,4.97553017944535,5.88,-0.75,-0.01,2.27,0.334,61,"-0.00808554",0.326,0.411,"0.00808554",0.009,0.008000000000000007,0.001,0.002,26,"42.9"
4885,139,"TB",2019,24922,19.6,0.267,0.184,0.308,0.451,0.331,0.333,0.26,295,1104,88.7,10.5,2229,88.6,88.03,608,2338,2546,-0.5999999999999943,5.98,88,147,116,146,298,327,296,"1.5","-1.5",,,1207,853,191,52,5,47,252,20.9,85,7,2.26464,0.72721,0.44461,-0.12411,"92.2",159,37.045720984759676,8.792497069167643,6.2137531068765535,5.94,-0.47,-0.02,2.28,0.329,75,"-0.029682702",0.322,0.458,"0.029682702",0.007,0.007000000000000006,-0.007,-0.002,26,
4876,111,"BOS",2019,25427,19.2,0.262,0.193,0.3,0.455,0.326,0.319,0.25,296,1130,88.8,13.6,2233,88.8,88.5,588,2411,2462,-0.29999999999999716,6.03,88,146,117,146,290,326,302,"-4.8","4.8",,,1230,879,177,69,1,49,258,21,86,7,2.25237,0.71339,0.42938,-0.06967,"92.2",173,38.111490329920365,7.394766780432309,5.284552845528456,5.89,-0.62,0.03,2.26,0.318,65,"0.098831009",0.307,0.439,"-0.098831009",0.012,0.01100000000000001,0.016,0.007,24.4,
4875,158,"MIL",2019,25312,19.3,0.265,0.204,0.32,0.468,0.341,0.323,0.244,278,1051,89.8,12.3,2252,89.2,89.05,577,2243,2631,-0.20000000000000284,6.09,89,146,118,146,302,323,298,"-16.7","16.7",,,1183,784,159,70,3,46,279,23.6,103,8.7,2.24816,0.67553,0.46158,-0.13407,"92.4",167,39.9234693877551,8.418367346938775,5.579036348267118,5.87,-0.69,-0.01,2.32,0.339,66,"0.343035897",0.321,0.429,"-0.343035897",0.021,0.018000000000000016,0.039,0.018,25.7,
4873,147,"NYY",2018,25145,19.4,0.248,0.223,0.272,0.471,0.339,0.343,0.255,267,1076,88.5,14,2229,88.7,88.18,616,2260,2613,-0.5,6.01,88,148,114,145,297,322,292,"-24","24",,,1192,825,153,49,4,61,257,21.6,100,8.4,2.30004,0.68381,0.44426,-0.17517,"92.4",165,37.93939393939394,9.575757575757576,6.62751677852349,5.86,-0.74,-0.01,2.25,0.318,79,"0.492201929",0.324,0.468,"-0.492201929",-0.007,-0.006000000000000005,0.003,-0.004,27.3,
